Keywords,Nombre occurrences
pays,0.011049152097675983
état,0.008547387559172089
président,0.007612459304753353
militaire,0.0072835714998392516
sahel,0.0059088943826702
armée,0.005657609318241448
force,0.00559478805213426
afrique,0.005480231625703506
malien,0.005428496465379939
politique,0.005240032667058376
sputnik,0.004888972650577032
région,0.004312495149828719
groupe,0.004216415566370668
ministre,0.004190547986208885
terroriste,0.004164680406047101
chef,0.004142508194479858
africain,0.003813620389565757
opération,0.0036547195400005172
national,0.003632547328433275
dernier,0.0035327723763806823
sécurité,0.0035327723763806823
international,0.003237142888817445
algérie,0.0032334475202229047
gouvernement,0.002963685612821451
grand,0.002963685612821451
situation,0.002893473609525182
algérien,0.0028639106607688584
attaque,0.0028158708690398325
burkina,0.0027271820227708615
russie,0.0026237117021237284
crise,0.0026015394905564856
an,0.0025793672789892427
transition,0.002486983064125731
djihadiste,0.0024500293781803267
nouveau,0.002390903480667679
étranger,0.0023798173748840576
année,0.0023798173748840576
question,0.0023428636889386532
faso,0.0023428636889386532
armé,0.0023133007401823294
organisation,0.002302214634398708
niger,0.0022652609484533036
juin,0.0022283072625078988
coup,0.002213525788129737
civil,0.0021839628393734135
mort,0.0021543998906170896
soldat,0.0021543998906170896
défense,0.002106360098888064
homme,0.002091578624509902
autorité,0.0020878832559153614
général,0.002069406412942659
jour,0.0020583203071590376
accord,0.0020583203071590376
zone,0.0020065851468354713
août,0.002002889778240931
affaire,0.00199549904105185
libye,0.001958545355106445
nord,0.001925287037755581
janvier,0.001925287037755581
population,0.0019178963005665
paix,0.0018957240889992573
économique,0.0018957240889992573
macron,0.0018883333518101763
russe,0.0018735518774320144
frontière,0.001869856508837474
mois,0.001869856508837474
ancien,0.0018513796658647717
mission,0.0018292074542975289
septembre,0.0018255120857029884
lutte,0.0018144259799193672
guerre,0.0017959491369466648
européen,0.0017959491369466648
décembre,0.0017885583997575838
place,0.0017663861881903411
pouvoir,0.0017035649220831532
mai,0.0016850880791104508
cas,0.00167769734192137
ouest,0.0016481343931650462
bamako,0.0016481343931650462
terrorisme,0.0016407436559759652
fin,0.0016370482873814248
face,0.001622266813003263
côte,0.0016185714444087226
novembre,0.001614876075814182
personne,0.0015963992328414797
cedeao,0.0015779223898687775
pari,0.0015779223898687775
monde,0.001574227021274237
américain,0.0015705316526796965
tchad,0.0015631409154906156
octobre,0.001559445546896075
union,0.0015520548097069941
sécuritaire,0.0015483594411124537
centre,0.001540968703923373
cadre,0.0015298825981397515
communiqué,0.0015224918609506705
conflit,0.001511405755167049
part,0.0015003196493834278
femme,0.0014929289121943469
ivoire,0.0014892335435998064
membre,0.0014818428064107254
soutien,0.0014744520692216445
social,0.001470756700627104
présence,0.0014670613320325635
relation,0.001463365963438023
février,0.0014596705948434826
élection,0.0014559752262489423
nation,0.00143749838327624
partie,0.0014338030146816994
droit,0.0014264122774926185
important,0.0014264122774926185
société,0.001422716908898078
communauté,0.0014190215403035375
sénégal,0.0014079354345199163
public,0.001382067854358133
avril,0.0013672863799799712
ministère,0.0013598956427908902
base,0.0013562002741963498
mars,0.0013488095370072688
développement,0.0013488095370072688
maroc,0.0013451141684127283
juillet,0.0013414187998181878
local,0.0013377234312236474
côté,0.0013192465882509452
barkhan,0.0013155512196564047
million,0.0013155512196564047
mouvement,0.0013044651138727833
république,0.0012933790080891618
sommet,0.001278597533711
photo,0.0012749021651164596
rapport,0.0012749021651164596
fois,0.0012712067965219192
alger,0.0012638160593328382
violence,0.0012564253221437572
compte,0.0012564253221437572
raison,0.0012379484791710548
conseil,0.0012194716361983526
bon,0.0011899086874420288
mesure,0.001175127213063867
coopération,0.0011714318444693266
jeune,0.0011677364758747861
lieu,0.0011677364758747861
projet,0.0011677364758747861
cours,0.0011566503700911647
mandat,0.0011529550014966242
onu,0.0011529550014966242
suite,0.0011492596329020837
action,0.001141868895713003
service,0.0011381735271184625
problème,0.0011233920527403006
source,0.0011049152097675982
décision,0.001086438366794896
moyen,0.001079047629605815
responsable,0.001079047629605815
nombre,0.0010753522610112746
temps,0.0010753522610112746
point,0.0010642661552276531
cause,0.0010642661552276531
territoire,0.0010605707866331126
al,0.0010605707866331126
emmanuel,0.001053180049444032
spécial,0.0010494846808494914
stratégique,0.0010494846808494914
arme,0.0010494846808494914
début,0.0010347032064713295
minusma,0.0010273124692822485
information,0.001016226363498627
menace,0.0010088356263095464
sein,0.0010088356263095464
combat,0.0010088356263095464
guinée,0.0009940541519313844
premier,0.0009866634147423035
intervention,0.0009866634147423035
partenaire,0.0009866634147423035
presse,0.0009866634147423035
objectif,0.0009792726775532225
régional,0.0009718819403641417
contexte,0.0009718819403641417
togo,0.0009681865717696012
intérêt,0.0009644912031750607
ivoirien,0.0009607958345805202
colonel,0.0009571004659859797
peuple,0.0009571004659859797
réseau,0.0009534050973914393
puissance,0.0009497097287968989
niveau,0.0009423189916078179
terrain,0.0009386236230132774
dialogue,0.0009275375172296561
engagement,0.0009201467800405752
plan,0.0009127560428514942
europe,0.0009127560428514942
major,0.0009090606742569537
travail,0.0009053653056624133
moment,0.0008942791998787919
visite,0.0008942791998787919
continent,0.0008942791998787919
officiel,0.0008905838312842514
mondial,0.0008868884626897109
libyen,0.0008794977255006301
actuel,0.0008794977255006301
unité,0.0008721069883115491
besoin,0.0008684116197170086
présidentiel,0.0008647162511224682
mise,0.0008647162511224682
déclaration,0.0008610208825279278
ville,0.0008573255139333873
ordre,0.0008536301453388468
semaine,0.0008499347767443064
islamique,0.0008462394081497659
expert,0.0008425440395552254
processus,0.0008425440395552254
