Keywords,Nombre occurrences
pays,0.011684921492081885
militaire,0.007342071501516678
américain,0.007102171709461439
force,0.006638491874224237
président,0.0064118671694764024
armée,0.006227912388216654
iran,0.006116022366625672
état,0.005561313361280553
afrique,0.004623523265064616
iranien,0.004137086137300435
russie,0.004102001977988008
russe,0.004022351454143582
dernier,0.003943649150821111
gouvernement,0.003849775319147322
source,0.003790985646785959
guerre,0.003739781738600256
ministre,0.003723661989726979
occidental,0.0036373739222288494
terroriste,0.0036013415423944654
région,0.003564360942038124
politique,0.003521691018550038
accord,0.003495140843935229
sécurité,0.003248603508226287
israël,0.0030343056702638992
étranger,0.0030087037161710475
affaire,0.002958448028507302
grand,0.002956551587463387
nouveau,0.002954655146419472
national,0.002792509437164745
africain,0.0027631146009840634
défense,0.002751735954720574
européen,0.002746046631588829
groupe,0.002726134000627722
attaque,0.0026995838260129128
chine,0.0026000206712073785
international,0.002579159819724314
base,0.0025279559115386112
jour,0.002509939721621419
nucléaire,0.00249097531118227
arme,0.002435978520908737
chef,0.002435030300386779
pari,0.002414169448903715
missile,0.0024056354642060978
malien,0.0024018425821182676
syrie,0.0023373635866251598
média,0.002327881381405585
population,0.0022975383247029464
macron,0.0022975383247029464
général,0.0022520237396489876
opération,0.0022169395803365616
otan,0.0022046127135511144
israélien,0.002121169307618857
présence,0.002060483194213579
an,0.0020130721681157057
nord,0.001985573772978939
année,0.0019846255524569815
face,0.0019561789367982577
aérien,0.0019059232491345118
monde,0.0018850623976514474
washington,0.001866097987212298
place,0.0018651497666903405
armé,0.0018167905200705096
syrien,0.0018082565353728926
peuple,0.0017997225506752753
projet,0.0017807581402361258
fois,0.0017760170376263386
coup,0.0017561044066652317
sahel,0.00173429533466021
zone,0.0017333471141382526
mois,0.00173050245257238
sanction,0.0017286060115284652
système,0.0016897289701282088
avion,0.0016811949854305917
question,0.0016792985443866767
part,0.0016783503238647192
frontière,0.00165938591342557
plan,0.0016489554876840378
information,0.0016356804003766331
al,0.0016299910772448883
partie,0.0016157677694155265
situation,0.0015693049638396104
fin,0.001564563861229823
résistance,0.001548444112356546
ministère,0.0015427547892248013
algérie,0.0015370654660930565
droit,0.0015162046146099922
drone,0.0015124117325221622
coopération,0.0015048259683465026
europe,0.0014972402041708427
économique,0.001489654439995183
puissance,0.001477327573209736
semaine,0.0014668971474682039
république,0.0014602596038145014
allié,0.001439398752331437
cas,0.00143086476763382
vidéo,0.0014232790034581601
relation,0.0014128485777166282
soldat,0.0014081074751068408
lieu,0.0014062110340629258
us,0.0014052628135409683
axe,0.0013995734904092235
cadre,0.0013900912851896488
point,0.001384401962057904
mission,0.001380609079970074
rapport,0.0013787126389261592
côte,0.001375867977360287
territoire,0.0013730233157944144
autorité,0.0013730233157944144
temps,0.0013673339926626696
mesure,0.001364489331096797
stratégique,0.0013502660232674352
membre,0.0013331980538722008
conseil,0.0013331980538722008
chinois,0.0013265605102184984
navire,0.0013170783049989239
civil,0.0013142336434330514
allemagne,0.0013066478792573917
suite,0.0012962174535158595
intérêt,0.001289579909862157
trump,0.0012819941456864974
ville,0.0012800977046425826
occident,0.0012744083815108378
occupation,0.001268719058379093
important,0.0012658743968132205
décision,0.0012478582068960286
sud,0.0012402724427203688
crise,0.001238376001676454
troupe,0.0012241526938470918
raison,0.0012203598117592619
personne,0.0012156187091494747
manifestation,0.0012127740475836022
service,0.0012080329449738149
analyse,0.00120234362184207
responsable,0.0011947578576664104
turquie,0.001193809637144453
nation,0.0011843274319248782
côté,0.0011824309908809632
conflit,0.0011795863293150909
cours,0.001173897006183346
air,0.0011663112420076862
site,0.0011549325957441966
homme,0.0011501914931344092
mer,0.001147346831568537
algérien,0.0011416575084367921
heure,0.0011359681853050474
combat,0.001129330641651345
soutien,0.0011264859800854726
action,0.0011255377595635152
onu,0.0011179519953878553
burkina,0.001115107333821983
irak,0.0011103662312121957
liban,0.0010999358054706635
cameroun,0.0010942464823389187
exercice,0.0010904536002510888
presse,0.0010857124976413014
golfe,0.001084764277119344
union,0.0010838160565973865
visite,0.0010762302924217267
éthiopie,0.0010752820718997692
terrorisme,0.0010743338513778118
aide,0.0010733856308558544
compte,0.0010705409692899819
position,0.0010657998666801947
million,0.0010629552051143222
capacité,0.0010601105435484497
mouvement,0.0010591623230264923
menace,0.001054421220416705
régime,0.0010439907946751727
sujet,0.0010411461331093004
pression,0.001040197912587343
communiqué,0.0010373532510214705
société,0.0010345085894555982
moyen,0.0010288192663238534
ancien,0.0010278710458018958
objectif,0.0010278710458018958
bon,0.0010231299431921086
milliard,0.0010183888405823213
début,0.0010155441790164488
chose,0.0010117512969286188
jaune,0.0010108030764066614
marine,0.001009854855884704
mort,0.0010032173122310017
organisation,0.0010013208711870867
programme,0.000997527989099257
centre,0.0009956315480553419
turc,0.0009927868864894696
islamique,0.0009889940044016396
ambassadeur,0.000979511799182065
libanais,0.00097761535813815
article,0.0009709778144844478
gilet,0.0009671849323966179
tentative,0.000963392050308788
ordre,0.0009624438297868305
niger,0.0009595991682209581
daech,0.0009586509476990007
dollar,0.0009577027271770432
téhéran,0.0009567545066550857
pétrolier,0.0009529616245672559
centrafricain,0.0009529616245672559
cause,0.0009491687424794259
continent,0.0009434794193476811
sein,0.0009434794193476811
hezbollah,0.0009396865372598513
actualité,0.0009396865372598513
élection,0.0009377900962159363
paix,0.0009358936551720214
lutte,0.0009264114499524468
nombre,0.0009264114499524468
haut,0.0009245150089085318
moment,0.0009235667883865744
samedi,0.000916929244732872
pétrole,0.0009140845831669996
rédaction,0.0009055505984693824
