Keywords,Nombre occurrences
politique,0.004926633378378266
grand,0.004492003900008576
an,0.004338801172000869
monde,0.0039491333638073545
état,0.003826737706105545
pays,0.0035686244143534303
président,0.0034154216863457234
juif,0.00283841358575148
social,0.0026627300226556862
homme,0.002660232152090343
jour,0.002615270481914168
dernier,0.002550325847215249
année,0.0025320081297360666
public,0.002506196800560855
national,0.0025053641770390743
macron,0.002424599695426316
petit,0.0023388394726828713
guerre,0.002311362896464098
pouvoir,0.0022922125554631343
article,0.002276392708549295
nouveau,0.002228933167807777
américain,0.0022147785679375
bon,0.0021423403215425517
gouvernement,0.0021423403215425517
droit,0.0020890524161485667
question,0.0020399276283634867
fois,0.0020024595698833413
place,0.0019866397229695017
ministre,0.0019766482407081298
affaire,0.001949171664489356
chose,0.0019333518175755169
cas,0.0018983816296607142
européen,0.001888390147399342
pari,0.0018700724299201598
peuple,0.0018684071828765976
personne,0.0018584157006152255
temps,0.0018484242183538534
mort,0.0018475915948320723
média,0.0018434284772231673
haine,0.0017968015600034303
femme,0.0017634966191321898
vie,0.0017535051368708177
jaune,0.0017385179134787594
enfant,0.0017226980665649202
force,0.0017052129726075188
million,0.0016785690199105263
gauche,0.001661916549474906
journal,0.0016361052202996946
loi,0.0015994697853413298
mois,0.0015694953385572133
fin,0.0015636669739047461
gilet,0.001560336479817622
droite,0.001557005985730498
point,0.001557005985730498
jeune,0.00155034499755625
trump,0.0015461818799473448
système,0.0015386882682513158
général,0.0015286967859899437
histoire,0.0015070485744236371
sanitaire,0.0015062159509018562
sioniste,0.0015028854568147321
liberté,0.0014570911631167764
santé,0.0014554259160732142
libre,0.00144376918676828
raison,0.0014212883516801927
partie,0.0014162926105495066
ordre,0.0014029706342010104
journaliste,0.0014029706342010104
service,0.0014013053871574483
israël,0.001393811775461419
face,0.001387150787287171
république,0.001382987669678266
euro,0.0013788245520693608
soral,0.001333862881893186
côté,0.0013313650113278431
ancien,0.0013188756585011277
numéro,0.0013155451644140037
société,0.0013088841762397556
groupe,0.0013047210586308506
vaccin,0.0012963948234130404
europe,0.0012905664587605733
coup,0.0012814076000209822
alain,0.001268918247194267
réseau,0.0012622572590200187
crise,0.0012572615178893327
moment,0.0012572615178893327
exemple,0.0012555962708457706
compte,0.0012497679061933035
presse,0.0012439395415408364
vrai,0.0012397764239319314
zemmour,0.0012364459298448073
lieu,0.0012322828122359021
part,0.0011873211420597273
justice,0.0011873211420597273
mondial,0.0011831580244508224
mai,0.0011814927774072602
heure,0.0011748317892330122
population,0.0011715012951458881
mesure,0.0011523509541449249
émission,0.0011448573424488956
police,0.0011431920954053337
mouvement,0.0011356984837093045
haut,0.0011290374955350564
janvier,0.0011273722484914943
problème,0.0011257070014479324
blanc,0.0011132176486212172
nom,0.00110738928396875
travail,0.001105724036925188
nombre,0.001102393542838064
élection,0.0011007282957945018
rapport,0.0010990630487509399
noir,0.0010940673076202537
mars,0.0010940673076202537
information,0.0010732517195757283
moyen,0.0010715864725321664
conseil,0.0010682559784450422
suite,0.0010657581078796993
avril,0.001052436131531203
situation,0.0010499382609658599
israélien,0.0010499382609658599
violence,0.001048273013922298
juin,0.0010399467787044878
sujet,0.0010266248023559916
parti,0.0010149680730510574
cause,0.001008307084876809
livre,0.0010074744613550281
intérêt,0.0010066418378332472
novembre,0.0010033113437461231
chef,0.001001646096702561
propos,0.0009999808496589991
économique,0.000994985108528313
vidéo,0.0009891567438758458
tête,0.0009808305086580356
mot,0.0009791652616144737
antisémitisme,0.0009725042734402256
famille,0.0009708390263966635
début,0.0009675085323095395
septembre,0.0009566844265263862
vaccination,0.0009508560618739191
semaine,0.0009466929442650141
russe,0.0009466929442650141
russie,0.0009450276972214521
idée,0.00094336245017789
sens,0.000941697203134328
juillet,0.000939199332568985
virus,0.0009383667090472039
ligne,0.0009350362149600799
site,0.0009292078503076128
policier,0.0009250447326987077
profond,0.0009225468621333646
masque,0.0009225468621333646
entier,0.0009208816150898026
débat,0.0009167184974808976
ville,0.0009142206269155545
militaire,0.0009092248857848684
membre,0.0009042291446541823
octobre,0.0009017312740888393
samedi,0.0008950702859145911
autorité,0.0008717568273047227
main,0.0008700915802611607
réalité,0.0008692589567393797
étranger,0.0008684263332175986
médecin,0.0008650958391304746
projet,0.0008625979685651315
international,0.0008584348509562265
terme,0.0008551043568691024
février,0.0008551043568691024
sécurité,0.0008534391098255404
niveau,0.0008351213923463581
victime,0.0008242972865632049
banque,0.0008201341689542998
actuel,0.0008168036748671758
manière,0.0008118079337364896
premier,0.0008101426866929276
image,0.0008093100631711466
discours,0.0008076448161275846
important,0.0008051469455622415
décision,0.0008018164514751175
armée,0.0008009838279533364
faux,0.0007943228397790884
besoin,0.0007901597221701833
confinement,0.0007884944751266213
époque,0.0007851639810394972
gros,0.0007851639810394972
décembre,0.0007826661104741541
manifestation,0.0007818334869523731
communauté,0.0007810008634305921
extrême,0.000778502992865249
nation,0.000776005122299906
cours,0.000776005122299906
chine,0.0007651810165167528
combat,0.0007618505224296288
propre,0.0007560221577771616
risque,0.0007551895342553806
démocratie,0.0007551895342553806
campagne,0.0007510264166464756
accord,0.0007501937931246945
plan,0.0007493611696029136
vote,0.0007476959225593514
emmanuel,0.0007468632990375705
entreprise,0.0007435328049504464
union,0.0007368718167761983
long,0.0007368718167761983
message,0.0007352065697326363
plein,0.0007335413226890742
résultat,0.0007335413226890742
peur,0.0007302108286019502
attentat,0.0007268803345148262
association,0.0007227172169059211
école,0.000721051969862359
sûr,0.0007177214757752349
responsable,0.0007177214757752349
