Keywords,Nombre occurrences
pays,0.015832091109653567
afrique,0.010019676823087473
militaire,0.008676882714209052
armée,0.008610100769184902
force,0.008331047641762566
état,0.007780096595313339
président,0.007477192773239521
occidental,0.006775982350485958
malien,0.006728280961182995
terroriste,0.006253652137618508
africain,0.006201180609385249
population,0.004975254904299088
américain,0.004627034762387455
région,0.004612724345596566
gouvernement,0.004545942400572416
sahel,0.004414763579989267
groupe,0.003971140659471707
dernier,0.003944904895355077
média,0.0036873173931190745
attaque,0.0036014548923737405
ministre,0.003553753503070777
national,0.0035227476000238506
grand,0.0031983781527636992
sécurité,0.0031888378749031065
présence,0.003150676763460736
politique,0.0030457337069942163
armé,0.0030457337069942163
burkina,0.0029551010673185855
opération,0.002947945858923141
base,0.0029145548864110667
guerre,0.002874008705503548
étranger,0.0028692385665732515
occupation,0.0028143819688748435
place,0.002783376065827917
nouveau,0.002764295510106732
peuple,0.002726134398664361
chef,0.002711823981873472
accord,0.002695128495617435
russie,0.002673662870431101
affaire,0.002640271897919027
niger,0.0026355017589887305
côte,0.002561564605569137
coup,0.00251863335519647
éthiopie,0.0024542364796374693
soldat,0.002420845507125395
analyse,0.0024160753681950987
occident,0.002406535090334506
cameroun,0.0024017649514042096
nord,0.0023802993262178763
zone,0.0023302128674497643
jour,0.0023159024506588756
international,0.002308747242263431
algérie,0.0022992069644028382
face,0.0022491205056347266
faso,0.002239580227774134
axe,0.002184723630075726
frontière,0.0021346371713076144
israël,0.00204877467056228
pari,0.002044004531631984
actualité,0.0020392343927016876
général,0.002032079184306243
projet,0.002005843420189613
rédaction,0.001993918072863872
année,0.0019819927255381314
situation,0.0019796076560729832
terrorisme,0.001977222586607835
ivoire,0.0019724524476775387
russe,0.0019724524476775387
an,0.0019462166835609088
civil,0.0019295211973048715
défense,0.001924751058374575
plan,0.0019152107805139825
puissance,0.0019032854331882416
continent,0.0018603541828155746
information,0.001841273627094389
centrafricain,0.0018198080019080555
mois,0.0018078826545823148
territoire,0.0018031125156520184
mainstream,0.0017959573072565739
onu,0.0017816468904656847
arme,0.0017673364736747958
monde,0.0017482559179536105
coopération,0.001743485779023314
algérien,0.001741100709558166
source,0.0017267902927672768
autorité,0.0017220201538369806
tchad,0.0017196350843718324
fois,0.001714864945441536
éthiopien,0.0016886291813249061
part,0.0016695486256037206
suite,0.0016242323057659054
question,0.0016242323057659054
homme,0.001602766680579572
chine,0.0015932264027189791
mission,0.0015884562637886828
guinée,0.0015789159859280902
lutte,0.0015240593882296823
temps,0.0015192892492993859
troupe,0.0015097489714387931
côté,0.0015025937630433485
résistance,0.0015002086935782006
lieu,0.0014978236241130524
tentative,0.0014882833462524596
conflit,0.0014739729294615705
sénégal,0.0014739729294615705
vidéo,0.001452507304275237
aide,0.0014453520958797924
semaine,0.0014119611233677182
camerounais,0.0013952656371116808
iran,0.0013857253592510883
partie,0.0013761850813904955
washington,0.001369029872995051
cas,0.0013571045256693102
soudan,0.0013571045256693102
ouest,0.001354719456204162
paix,0.0013499493172738656
droit,0.0013451791783435692
point,0.0013404090394132729
important,0.0013332538310178283
fin,0.0013332538310178283
élection,0.0013213284836920876
centre,0.0013189434142269394
rapport,0.0013189434142269394
barkhane,0.001314173275296643
mort,0.0013070180669011984
économique,0.001299862858505754
nigérien,0.0012903225806451613
chose,0.0012831673722497167
communauté,0.0012807823027845685
déstabilisation,0.001271242024923976
macron,0.0012688569554588278
aérien,0.0012664718859936796
rebelle,0.0012640868165285314
pression,0.0012617017470633832
européen,0.0012569316081330868
société,0.0012545465386679386
visite,0.0012521614692027905
intérêt,0.0012473913302724943
otan,0.001242621191342198
relation,0.001242621191342198
crise,0.0012402361218770497
république,0.0012354659829467533
sud,0.0012330809134816051
manifestation,0.0012330809134816051
sein,0.001230695844016457
cadre,0.0012259257050861606
nation,0.0012235406356210124
bon,0.0012092302188301234
drone,0.0012068451493649753
ivoirien,0.0011973048715043825
union,0.0011925347325740861
us,0.0011806093852483454
travers,0.0011686840379226044
personne,0.0011662989684574562
barkhan,0.0011639138989923083
ambassadeur,0.00116152882952716
main,0.0011448333432711227
cause,0.0011400632043408263
ville,0.0011400632043408263
rdc,0.0011376781348756782
million,0.001132907995945382
service,0.0011305229264802338
stratégique,0.001120982648619641
membre,0.0011185975791544928
développement,0.0011162125096893447
article,0.001104287162363604
décision,0.0010995170234333075
moyen,0.0010947468845030112
cours,0.001092361815037863
communiqué,0.0010899767455727148
conseil,0.0010899767455727148
objectif,0.0010852066066424184
raison,0.001080436467712122
allié,0.0010756663287818258
compte,0.0010732812593166777
soutien,0.0010685111203863813
ancien,0.0010565857730606403
échec,0.0010542007035954921
daech,0.0010470454952000478
séparatiste,0.0009921888975016398
tchadien,0.0009898038280364916
sécuritaire,0.0009850336891061952
terme,0.0009802635501758989
ministère,0.0009659531333850098
heure,0.0009635680639198616
volonté,0.0009611829944547134
sujet,0.0009587979249895654
moment,0.000954027786059269
action,0.0009444875081986763
mouvement,0.0009397173692683799
but,0.0009373322998032318
début,0.0009277920219426391
congolais,0.0009230218830123427
usa,0.0009230218830123427
contrôle,0.0009206368135471945
libye,0.0009158666746168982
organisation,0.0009134816051517501
burkinabé,0.0009134816051517501
total,0.000899171188360861
ingérence,0.000899171188360861
pouvoir,0.0008967861188957128
major,0.0008944010494305646
violence,0.0008944010494305646
position,0.0008896309105002684
local,0.000884860771569972
genre,0.000884860771569972
clair,0.0008824757021048238
voisin,0.0008777055631745274
air,0.0008753204937093793
niveau,0.0008729354242442311
israélien,0.0008729354242442311
