,V1,V2
darmanin,2.5770235,-1.3869705
cathédrale,2.8558266,-0.77355456
action,2.917403,-1.0013597
sud,3.4845297,-0.45404294
discours,3.3117266,-0.6763808
juge,2.7540674,-0.41128528
objet,2.8540983,-0.5364661
projet,2.6600354,-0.49302775
fait,2.9327369,-1.0020343
october,3.2031674,-0.28754267
titre,3.3472772,-0.9895321
génération,2.5955963,-1.0572681
allemagne,3.0930045,-0.08190223
sanitaire,2.7313972,-0.7083507
site,3.2722812,-0.49610013
ferme,2.393755,-0.99477845
marche,2.9229805,-0.49284104
nation,2.797458,-1.4088521
séjour,2.874914,-0.9098158
islamique,2.5681343,-0.5862258
lutte,2.8725379,-0.58660525
domicile,2.9072285,-1.0089355
avocat,3.0047216,-0.42927724
fille,2.6885662,-0.6258441
véhicule,2.9976728,-0.7311786
haine,2.9476466,-0.9474703
équipe,2.9795692,-0.30396962
fils,3.1250553,-0.8208843
étranger,2.4051585,-0.8795046
candidat,2.7432375,-1.1352868
libre,2.7302573,-1.2145964
identité,2.6103854,-0.7399883
main,2.959692,-0.6273316
chose,3.0202925,-0.7946177
pouvoir,3.1059973,-0.20133974
nice,2.793669,-0.28686646
sein,2.8896322,-0.43449098
tour,3.1986992,-0.5993686
train,2.846556,-0.26664135
manière,2.8348322,-0.22933881
réponse,3.102007,-1.1305639
arme,2.344797,-1.0381116
ligne,3.0605578,-0.851989
direction,2.4775054,-1.2232577
recherche,3.2652397,-0.5743997
hôpital,2.5282688,-0.97559494
réalité,2.6640944,-0.78302276
february,2.9788346,-0.84573364
mosquée,2.8996613,-1.1908859
dossier,2.9185567,-0.4917954
examen,2.8425212,-0.5687576
arrivée,2.468651,-0.53258896
mélenchon,2.6488318,-1.1159428
social,2.6200304,-0.8028582
mère,2.8025231,-0.2868243
maison,2.7849534,-1.0834674
ouest,2.074021,-0.5828473
rassemblement,2.3289657,-1.3156726
marine,2.8741574,-1.2514731
gérald,1.9200562,-1.175368
strasbourg,2.9911826,-0.9069457
prise,2.3774722,-0.77311784
défense,3.2568388,-0.3184775
afghanistan,2.240354,-0.911065
membre,2.7809741,-1.2362108
procès,2.6030884,-0.32965326
acte,3.1584575,-1.157629
département,2.545937,-1.1861006
individu,2.652737,-0.10947464
information,2.6228645,-0.319075
facealinfo,2.232222,-0.35314548
