,V1,V2
santé,3.1817656,1.479844
village,2.7827895,2.2495232
fait,2.546282,2.1630204
dakar,2.8765223,2.3138335
aide,2.052106,2.1051304
junte,2.235991,1.9973629
engagement,2.4366324,1.6560333
boubacar,3.7981887,-0.43106088
bilan,2.2178988,2.05773
histoire,2.9307387,2.0737052
système,3.1334572,1.6933744
responsable,1.9362458,2.2697659
prix,3.3465006,1.6013603
important,2.9060013,1.8963481
syrie,2.472701,1.6163818
entretien,2.5805578,1.7499338
présidentielle,2.970424,1.2273684
train,2.5604336,1.5070475
déclaration,2.3040972,1.51005
initiative,2.5791314,1.5116041
solution,2.8973417,1.5955919
site,2.8409624,1.8716414
assemblée,2.40615,1.6647438
risque,2.9104455,2.3080795
titre,2.2127821,2.1102104
premier,2.463513,2.151908
populaire,2.1658576,1.8459945
keïta,3.0096838,1.0092806
départ,2.4326305,2.0826979
travers,2.9586866,1.3297416
haut,2.2653797,1.470415
peuple,2.9827816,1.6835703
dimanche,2.0281723,1.745148
jeune,3.0326447,1.7195405
turquie,2.255022,2.0022001
propos,2.5254235,1.6983733
œuvre,2.7051656,0.9005666
discours,2.9695795,1.51561
puissance,2.3628464,2.0744553
demande,2.4303985,1.9030843
mohamed,2.4291856,2.2992213
espace,2.4887192,1.3828013
terme,2.2193644,1.8755648
sénégalais,2.6371982,2.0397475
stabilité,2.0211008,1.4627262
ligne,2.319396,1.7423837
an,2.260015,1.5422475
mardi,2.0867891,1.3117744
poste,2.1865475,1.7074418
américain,2.3902216,1.9376118
agence,2.1715827,1.5296867
information,2.5037646,1.7046434
appel,2.2917423,1.8211058
allemagne,2.600799,1.568052
service,2.507738,1.8540473
togolais,2.790473,1.0581173
gouvernance,2.4401474,1.4027388
mesure,2.4703622,2.2128506
forum,2.268668,1.8311392
ong,2.5487578,1.6626111
ag,3.6205423,0.8598198
réalité,2.3796911,1.7102728
louadj,1.9270815,1.4900924
issue,1.8985667,1.7155194
retrait,1.8179587,1.7421113
moscou,2.4191275,1.3164017
kamal,2.2568018,2.0692484
franc,1.64636,2.4727855
dossier,2.9542747,1.0805856
passage,2.324923,1.7314188
création,2.6197512,1.86198
administration,2.5761368,1.1023401
arrivée,2.6266928,1.9407798
marché,2.3921201,1.7164168
influence,2.075837,1.5534872
heure,2.3843648,1.9858377
intérieur,2.3701863,1.6193582
camp,1.8198665,2.285307
pandémie,1.8336321,1.4709096
constitution,2.184844,1.6781417
commission,2.6014466,1.3709228
changement,2.9337661,1.354927
jeudi,2.35449,1.3471342
vendredi,2.0806172,2.2601645
respect,2.1611392,1.7470174
capacité,2.2364388,1.9524087
justice,2.3180642,1.7347058
front,2.494329,1.6083443
arabe,2.6035519,1.5316327
étranger,2.5457988,1.3073362
appui,2.0477195,1.2003427
feu,2.5054328,2.0885139
matière,2.4873908,1.9579473
protection,2.6543095,1.6591537
unité,2.4158602,1.887373
réponse,2.2569203,1.6556858
occasion,2.2484019,2.1435907
difficile,2.5427508,1.8886908
secrétaire,2.4027238,1.6822307
public,3.1486597,1.4251506
programme,2.7710423,1.5534567
membre,2.5404327,1.7392898
exercice,2.3571453,1.8216407
choix,2.5568953,1.5455871
chercheur,2.2802875,1.6094621
confiance,2.2142928,1.84321
terre,2.533327,1.9924208
prise,2.166603,1.8166287
comité,2.141699,1.3109411
abidjan,2.429512,1.5441309
rencontre,2.5547183,1.3355705
diplomatique,2.7513702,1.088322
insécurité,2.0439982,2.072751
gao,1.948066,1.4192481
maintien,1.9178421,1.0745306
garde,2.143552,1.1886097
école,2.144431,1.938803
acte,2.4679866,1.8911605
annonce,2.1448758,1.5446564
pierre,2.7031782,1.6876719
particulier,1.7450569,1.6098555
véhicule,2.4117455,1.9920763
gestion,2.1452725,1.7356029
semaine,2.0167816,1.6254545
islam,1.5596855,1.9346544
ouattara,2.2069073,1.7326071
coronavirus,2.2365558,1.7902511
affaire,3.0482898,1.4358709
démocratique,2.3380086,1.6592518
énergie,2.2580688,1.7570152
route,2.5296934,1.2997117
opinion,2.1110895,1.988143
chose,2.5689697,1.5209489
succès,2.4939063,1.4254861
élection,1.7518665,1.537265
samedi,1.720695,1.5362455
coalition,1.6702114,1.4159379
prison,2.5990374,1.7650362
parly,2.2610567,0.94924
eau,2.8258154,2.1972387
accès,2.9038706,1.3050967
homologue,2.5619347,1.8483318
urgence,2.1165218,1.790713
financement,2.3496563,1.334493
florence,1.6407783,1.3279169
partenariat,1.4207654,1.4088458
université,2.8463447,1.5803175
berlin,2.0512183,1.6805748
famille,2.820316,1.8494968
grâce,2.3439054,1.4781748
main,2.3431687,2.0253031
nécessaire,2.7008364,1.3312029
afghanistan,1.9322103,2.0479934
violence,2.1409578,2.0336437
communication,2.0980651,2.1579893
message,2.0038252,1.712119
sujet,2.4665937,1.413478
al,2.6125562,1.9946816
voix,2.0141482,1.7513347
réconciliation,1.7506727,1.1445354
ibk,2.720683,1.29846
lait,2.9824708,2.0395882
égypte,2.1290443,1.1693155
démocratie,1.9382861,1.5598001
date,2.2325168,1.2810353
occidental,2.4785652,1.4318305
manque,2.654691,1.1727159
direction,2.0465121,2.2326956
décès,1.5437865,1.9568882
air,2.260653,1.8582368
actuel,2.2469084,1.266024
renseignement,1.9498014,2.1573944
chute,2.2351544,1.6822873
djihadiste,1.4068437,2.2912364
secteur,2.4062068,1.4026076
idriss,2.1119158,1.7649081
ghana,2.1925108,1.261085
drian,1.5833453,1.4044609
mercredi,2.4422987,1.3014778
compagnie,3.0230978,1.5426676
ghali,2.1189082,1.3360676
haftar,1.4748695,1.8712566
corps,2.34154,1.5844795
soir,2.263065,2.1939013
humanitaire,2.099994,1.1732726
période,2.1635978,1.3720354
long,1.8196484,1.9690578
ivoirien,2.0015233,1.5854644
commandement,1.9197819,1.333248
nation,2.496191,1.2862434
coordination,1.6166811,2.0399077
doute,2.2056334,1.9774464
recherche,2.4602187,1.4466802
origine,2.6470573,1.2357554
bénin,1.727437,1.5878531
journée,2.328927,1.1004223
intérêt,2.1759844,1.0872982
soudan,1.9698567,1.661048
cour,2.1452224,1.5611966
nécessité,1.6949153,1.3994983
élysée,1.549953,1.7430568
éducation,2.2444499,0.8531145
ue,2.0604033,1.6311246
nuit,2.2281082,1.2366128
iyad,2.5490108,0.9444738
campagne,2.4027205,1.2245482
alliance,2.0429888,1.8884538
domaine,1.9023802,1.7191445
banque,1.9378755,1.9132975
production,2.6428108,1.0546471
vidéo,2.4871702,2.0010517
april,2.4432273,1.9006933
quotidien,2.1587858,1.4449455
époque,2.3460612,1.7898321
dr,2.1754065,1.4793309
officier,2.154071,1.6092073
spécial,2.0204709,1.3385735
anp,2.2567105,1.2268271
vrai,2.2895586,1.625459
professeur,2.3460958,0.80881727
ould,2.1345892,1.3413448
régiment,2.5556154,1.5375872
liberté,1.8990465,1.5763633
bon,2.2152646,1.9073256
peine,1.959065,1.8481213
daech,1.4735262,1.7129036
impact,2.0775907,1.4876177
candidat,2.0225942,1.2543303
participation,1.7565523,1.185911
charte,1.6752847,1.514345
plupart,1.8740851,1.3027363
sanitaire,2.240927,1.1639806
absence,2.472458,1.5566612
fonds,2.0408108,1.0056282
september,1.9938419,1.8319678
marine,2.376229,1.887495
avenir,2.1673524,1.5812556
document,2.5441122,1.7244622
véritable,1.9617728,1.6594194
indépendance,2.158838,0.9626458
but,2.1729548,1.4775928
dispositif,1.3146319,1.8039476
application,2.3446972,1.1128116
lendemain,1.7663721,1.786243
serval,1.1877418,1.3973702
proximité,2.1884434,1.3448555
antiterroriste,1.4227653,1.2308121
souveraineté,1.9456872,1.6041775
total,2.0805907,1.1924262
présent,2.2625487,1.2668791
pression,1.5804448,1.7413279
assassinat,2.1723647,1.6236099
sortie,2.2851908,1.0855314
sûr,1.4966313,1.8214102
diplomate,1.9421229,1.2829162
objet,2.1644082,1.5687244
télévision,1.8680199,1.7190965
ua,1.3798896,1.8450067
alimentaire,1.5960273,1.3944298
ouagadougou,1.7226765,1.7003167
libyen,1.7175437,1.4953507
journaliste,1.9569316,1.2937385
classe,1.9007043,1.3975371
auteur,2.109999,1.8201158
livre,2.2647245,1.698553
construction,1.7902519,1.5861559
charge,1.8793935,1.8184283
genre,2.367198,1.0508404
sall,1.6178055,1.2229409
mondial,2.6391191,1.5352051
renforcement,1.4162489,1.7499007
pau,1.2260149,0.960844
majorité,1.9467041,1.2068211
paul,2.201051,1.2451845
françois,2.1172,1.3927743
traoré,2.2488847,1.6698334
gaz,2.263422,1.1901418
équipe,2.1332238,1.1499027
lac,1.4513012,1.7737083
trump,2.4147959,1.4966146
cérémonie,2.3933835,1.3773603
tour,2.039924,1.8676575
preuve,2.1963823,1.2138996
quai,1.5763623,1.6675256
espagne,2.2763453,1.3720162
vision,1.3277586,1.7629895
tombouctou,1.7137977,1.7602677
voie,2.3473299,0.85399264
pétrole,1.8163786,1.8105432
laurent,2.7218847,1.5741146
ouverture,2.275606,1.4068083
stabilisation,1.7435127,0.6387362
officiel,1.6468155,1.0333388
forme,1.8759593,1.6667218
analyse,1.9721822,1.2330573
tchadien,1.6494024,1.0238358
june,2.2002316,1.117091
judiciaire,2.4028516,1.6178523
allié,1.5549897,1.1531103
nicolas,2.2559881,1.060097
qualité,2.1815522,1.3898748
irak,1.8711889,1.01873
propre,1.270613,1.5657892
niamey,1.4286681,1.2235292
local,2.1557865,1.4113837
dupuy,1.1301373,1.7086165
ennemi,1.9764414,1.6443181
instant,2.1334162,1.6607475
argent,2.1883247,1.2058966
égard,1.8059764,1.6852226
social,1.9674029,1.2745327
corruption,1.7066169,1.6050519
réseau,1.9082526,1.1904306
étude,1.8220518,1.4230025
environnement,1.8814404,1.764181
agriculture,1.7574221,1.3456191
second,1.4962581,1.5440803
marche,2.17516,1.4403429
article,2.0010889,1.3617363
inde,1.8688759,1.725784
avis,1.6991291,1.3740686
résolution,1.932621,1.202988
cnsp,1.43749,1.6555898
passé,1.8266897,1.2187178
fond,1.9239653,1.0485543
maréchal,1.9139963,1.9251084
maurice,1.569285,1.7417601
faveur,1.7754065,1.6144906
député,2.5160851,0.94885457
politologue,1.5209908,1.4590021
facebook,1.9356878,1.5782002
takuba,1.615499,1.7219796
armé,0.9932021,2.0461965
monétaire,1.0242779,1.5645424
géopolitique,2.031468,1.433213
petit,2.1246092,1.2512132
approche,1.5673194,1.4120288
docteur,1.7913005,1.3149158
idée,2.4105651,1.1851785
abdelmadjid,2.1052241,0.6219214
image,2.187118,1.6578062
représentant,1.3554226,1.349369
analyste,1.8272216,1.0051463
reconnaissance,1.6466072,1.807127
kidal,1.6785319,1.265366
matin,1.833586,1.3865106
bureau,1.7666156,1.0965407
priorité,1.5968269,0.80503297
note,1.9405973,1.0647771
danger,1.4755827,1.0910159
veille,1.4393697,0.9638277
tebboune,1.8084747,0.69683284
culture,1.7632575,1.1517612
maïga,1.4953758,1.5658718
média,2.136025,1.2737669
déploiement,1.4745216,1.0784609
chaîne,1.8486047,1.3569999
grave,1.7172319,1.2603906
taux,2.2610905,1.557966
cheikh,1.786497,1.284485
ap,1.3390213,1.3414038
démission,1.6492168,1.3636194
journal,1.5237886,1.137686
mopti,1.9256537,1.0719321
historique,1.6773328,1.7715033
personne,2.1212642,1.0862551
simple,2.2871795,1.4691832
principal,1.7391459,1.4220773
délégation,1.5135448,1.4043634
parlement,1.6048504,1.1204501
boko,1.1282778,1.4335661
bout,2.082401,1.3202249
liste,1.5725596,1.5976328
sol,1.5935957,1.5257868
électoral,1.3325261,1.5376452
montée,1.2959266,1.6473938
marocain,2.0233638,1.4626908
cœur,1.9985108,1.6846949
convoi,1.1997793,1.8992132
association,1.893194,1.2378408
lavrov,1.632052,1.8463489
offensive,1.209486,1.4530423
dan,2.6286206,1.0988247
tentative,1.5213664,1.1104803
commun,1.926372,1.3098834
retraite,1.7917858,0.9980769
dynamique,1.3003236,1.3532956
type,2.6229663,1.4116008
aqmi,1.2646916,1.3592659
meilleur,1.6594576,1.2272243
sorte,1.7531861,1.0444741
commerce,2.4564803,0.89876074
azawad,1.5030931,0.9945335
fondateur,1.3859342,1.5866333
cédéao,1.8740498,0.70020145
trafic,1.6299078,0.9086116
dicko,1.4973451,1.2141984
jeunesse,1.6095651,0.9283434
lien,1.9829342,1.6263028
expérience,1.8355765,1.0467441
arrêt,1.6007,1.29323
issoufou,1.447107,1.7051908
civil,1.3528091,1.5117524
aéroport,1.484142,1.8599948
chaos,1.4409162,1.6196135
prochain,0.99911284,1.1025407
texte,1.7304208,1.1479335
régional,1.5139202,0.8165721
royaume,1.5032443,0.8430935
agenda,1.6306999,1.3207195
soldat,1.3137898,1.6601597
mode,2.0991535,1.5197461
activité,1.8681911,1.185292
orsay,2.3241923,0.8842949
bord,1.5959027,1.7426599
november,2.2338247,1.0511948
quartier,1.9285979,1.0719868
nigérien,1.4641737,0.9932024
roland,2.182584,1.253887
sentiment,1.9686202,1.553963
complexe,1.1050471,1.0087758
august,2.1451497,1.5320405
fils,1.8576064,1.4508872
scrutin,2.1217625,0.83850056
nature,1.4399148,1.4858499
perte,1.9122564,1.6582731
procès,2.3487306,1.2111659
congo,1.4471841,1.1137667
attentat,1.8197471,0.9936146
soufi,1.3540311,1.2001941
réforme,1.2090273,1.6073247
intégration,1.7399435,1.7651472
global,1.3312616,0.96094924
cité,1.9671683,0.9508342
diaspora,1.4522136,1.3662001
échec,1.7089163,1.1309656
abou,2.1151354,0.8864951
proie,1.4090112,1.0410988
département,1.811666,1.4311347
roch,2.0008242,1.5671567
erreur,1.3659052,1.698137
centaine,0.94075125,1.1543701
ampleur,1.6004703,1.0984061
attention,1.4783894,0.8537504
essentiel,1.1678894,1.0454705
think,1.3552127,1.7552402
extérieur,1.2711927,0.9359628
macky,1.662659,1.1987181
putsch,1.3123443,1.0160532
réaction,1.7689385,0.9452742
imam,1.9445213,1.1943247
cible,1.5886908,1.357512
religieux,2.181974,1.5919677
délai,1.2978483,1.0160017
profit,1.6212394,1.4098887
évolution,1.5289857,1.2671047
gsim,1.5727091,0.79698855
responsabilité,2.0107992,1.033693
durée,1.1330167,1.6507769
démarche,1.6701505,0.9481991
bande,1.4733505,1.0269547
rue,1.6550679,1.1181227
reuters,1.0658667,0.73239696
radio,1.7307185,1.3698955
libre,1.9262389,1.0276897
entreprise,1.8723859,1.2551407
explosion,1.1094596,1.3214712
interne,1.3922805,1.1289368
poids,1.601709,0.9875435
augmentation,1.5786997,1.5875069
accident,1.3467897,1.3032389
importance,1.4742395,1.2766436
lancement,1.8372767,0.9508537
matériel,1.9960696,1.5025705
moitié,1.867038,1.2146662
commune,1.5884659,1.0670644
embargo,1.0019121,1.3828837
identité,2.1429837,1.5490191
contraire,1.5502752,1.4089584
monnaie,2.0022237,1.2414429
personnel,1.7178987,0.76797676
large,1.4549071,1.0234762
prévention,1.8298655,1.3953012
