,V1,V2
besoin,2.2592638,2.3918192
discours,1.9969372,2.5455894
nuit,2.8008928,1.9271585
source,2.8894644,1.9287254
international,2.5039706,2.361506
train,2.4001648,2.351324
mali,2.6786237,1.8478338
opération,1.7789953,2.7716765
assemblée,2.6060965,2.2342966
personne,2.7458012,2.2074463
terroriste,2.61402,1.2092918
port,3.1013048,2.55554
pass,4.6369543,0.76119447
responsable,2.5209904,2.1340532
professeur,2.4766753,2.3721693
coopération,2.3630812,1.7049329
message,2.7343671,2.2271383
auteur,2.6858475,2.588035
été,2.4793997,2.0892045
manifestation,2.6501248,2.3219302
québec,1.8533852,2.9332235
sud,2.1625202,2.6371188
production,2.5751631,2.100124
stratégie,2.104576,2.321147
direction,2.4324033,2.571758
bilan,2.7248385,1.3859214
coup,2.579342,2.1870537
idée,2.5606003,2.0874352
développement,2.492545,2.0626385
hausse,2.2631633,1.6469982
débat,1.7893349,2.1859066
conférence,2.3729024,1.7207372
appel,2.515065,1.9437191
prise,2.711054,2.018819
député,2.0089488,2.4982011
entretien,2.146613,2.5432713
majorité,1.8745992,2.6477056
syrie,2.5083017,1.557088
réanimation,2.0351486,1.977972
information,2.6031444,2.203868
présence,2.3383472,1.9887289
october,2.4178693,2.7422192
date,2.3384736,1.7599168
philippe,2.4702034,2.068167
candidat,2.1943605,2.489961
peuple,2.0821788,2.0652912
journée,2.183788,2.4262884
ukraine,2.6114485,2.2800908
poutine,1.6686049,2.6745322
famille,2.9301884,1.7907917
air,2.1466587,2.4592648
diplomatie,3.0056312,1.2453355
chose,2.5330918,2.260574
chaîne,2.4137137,2.8499799
conflit,2.4499824,1.9995892
otan,2.2439039,1.6994354
soir,2.5356472,1.7987034
travers,2.1550958,2.1770425
forme,2.5653336,2.18678
washington,2.402586,2.4628808
marine,2.0019524,2.8586442
mobilisation,3.6348264,1.0725915
capitale,2.502202,2.19518
objet,2.2796588,2.6054327
programme,3.0556684,1.8309785
visite,1.8736802,2.1030872
type,3.0092182,2.1216617
origine,2.9074328,1.6616805
avion,2.2014856,2.180444
nicolas,2.3307765,2.5312872
choix,2.3301718,2.119546
charge,2.418456,2.3373218
jean,2.516858,2.2242289
matière,2.1207035,2.4286366
occasion,2.064022,2.5521715
plainte,2.497116,2.2989652
noël,3.0104663,1.6746736
droite,2.094577,2.0815024
masque,2.483722,1.370055
interview,1.8334559,2.8141427
réalité,2.2033043,2.4448283
administration,2.764831,2.2545264
possibilité,2.1681077,2.1676483
alliance,2.45984,2.4172134
sahel,2.3242607,1.6510334
incendie,2.4261727,1.8533212
université,2.7595289,2.0399382
personnel,2.4808679,2.0512133
prison,2.361698,1.9413971
réunion,2.4325578,1.7035327
nécessaire,2.1964679,1.8491647
lien,2.525387,2.1725907
г,2.1459107,3.6693811
chinois,2.2106366,2.0419426
ambassade,2.417188,2.0769093
sens,2.6522334,1.8503993
article,2.1163638,1.8604298
rue,2.5388355,2.001004
algérien,2.0605266,1.8681365
britannique,2.4452834,1.9413296
tv,2.3087747,1.9596378
objectif,2.3028922,2.2437215
recherche,2.261226,2.30341
utilisation,2.2396598,2.248579
volonté,1.8859235,1.7406375
rassemblement,1.8906689,2.2372758
membre,2.5682557,1.890112
islam,2.3274944,1.6168386
intervention,2.0107033,2.4712806
entreprise,2.3771362,2.071607
matin,2.2965672,2.0047066
alger,2.2930734,1.6453872
bord,2.181772,2.5307934
combat,2.2122784,2.0583231
juge,2.7775495,2.1434243
média,2.418311,1.86081
rôle,2.361977,1.9585563
september,2.6238985,2.5247903
communauté,2.068653,2.4382222
eau,2.264383,2.1255548
haut,1.9213,1.9326805
alerte,2.1260917,2.3052132
bon,2.0138724,2.3134198
secteur,2.783371,1.5750335
olivier,2.2850232,1.66091
spécialiste,2.1367712,2.5110006
moyen,2.8967338,1.9125501
école,2.3522658,2.3283446
élysée,1.6452583,2.0880604
